id,name,tag,url,rank,tier,ranked_rating,damage_per_round,kd_ratio,headshot_percent,win_percent,wins,kast,dd_per_round,kills,deaths,assists,acs,kad_ratio,kills_per_round,first_bloods,flawless_rounds,aces
0,curry,#66666,https://tracker.gg/valorant/profile/riot/curry%2366666/overview,1,Radiant,1073,169.8,1.32,0.32799999999999996,0.748,86.0,0.773,35.0,2237.0,1697.0,635.0,259.0,1.69,0.9,330.0,106.0,8.0
1,icy,#madi,https://tracker.gg/valorant/profile/riot/icy%23madi/overview,2,Radiant,1063,165.6,1.23,0.259,0.623,109.0,0.736,28.0,3264.0,2655.0,856.0,250.3,1.55,0.9,582.0,157.0,6.0
2,sen z,#5193,https://tracker.gg/valorant/profile/riot/sen%20z%235193/overview,3,Radiant,968,188.8,1.51,0.309,0.76,79.0,0.7809999999999999,59.0,2119.0,1399.0,506.0,286.8,1.88,1.0,390.0,109.0,10.0
3,LEV Mazino,#ÐµÑÐ»Ð¸,https://tracker.gg/valorant/profile/riot/LEV%20Mazino%23%D0%B5%D1%81%D0%BB%D0%B8/overview,4,Radiant,965,162.7,1.32,0.32,0.618,94.0,0.778,34.0,2866.0,2176.0,1087.0,244.6,1.82,0.9,256.0,144.0,4.0
4,C9 LF SARANG ì¬ë,#ALONE,https://tracker.gg/valorant/profile/riot/C9%20LF%20SARANG%20%EC%82%AC%EB%9E%91%23ALONE/overview,5,Radiant,908,180.9,1.38,0.297,0.6459999999999999,164.0,0.759,37.0,5497.0,3987.0,1239.0,282.6,1.69,1.0,924.0,249.0,12.0
5,exa,#v1c,https://tracker.gg/valorant/profile/riot/exa%23v1c/overview,6,Radiant,905,147.9,1.06,0.263,0.5920000000000001,138.0,0.754,10.0,3801.0,3581.0,1702.0,223.4,1.54,0.8,405.0,180.0,7.0
6,MICKNUTTY333,#meow,https://tracker.gg/valorant/profile/riot/MICKNUTTY333%23meow/overview,7,Radiant,889,143.8,1.06,0.273,0.564,106.0,0.7490000000000001,10.0,3041.0,2869.0,1367.0,217.1,1.54,0.8,329.0,137.0,3.0
7,SEN Sacy,#moba,https://tracker.gg/valorant/profile/riot/SEN%20Sacy%23moba/overview,8,Radiant,883,157.2,1.34,0.33799999999999997,0.7040000000000001,114.0,0.7929999999999999,41.0,2807.0,2094.0,1162.0,232.4,1.9,0.8,273.0,160.0,3.0
8,BabyJ,#Halo,https://tracker.gg/valorant/profile/riot/BabyJ%23Halo/overview,9,Radiant,872,157.2,1.29,0.36,0.542,166.0,0.735,32.0,5439.0,4211.0,1684.0,239.6,1.69,0.9,753.0,221.0,11.0
9,wedid,#0702,https://tracker.gg/valorant/profile/riot/wedid%230702/overview,10,Radiant,864,157.7,1.28,0.36700000000000005,0.636,91.0,0.768,34.0,2588.0,2027.0,881.0,236.5,1.71,0.8,249.0,120.0,7.0
10,EG Derrek,#100,https://tracker.gg/valorant/profile/riot/EG%20Derrek%23100/overview,11,Radiant,861,150.5,1.16,0.33299999999999996,0.59,92.0,0.7440000000000001,20.0,2641.0,2278.0,976.0,225.8,1.59,0.8,294.0,137.0,1.0
11,okeanos,#502,https://tracker.gg/valorant/profile/riot/okeanos%23502/overview,12,Radiant,861,160.4,1.17,0.318,0.625,85.0,0.7120000000000001,19.0,2548.0,2182.0,618.0,248.8,1.45,0.9,481.0,138.0,9.0
12,twitch Huso,#0724,https://tracker.gg/valorant/profile/riot/twitch%20Huso%230724/overview,13,Radiant,841,147.8,1.25,0.272,0.6559999999999999,80.0,0.7390000000000001,22.0,2073.0,1655.0,505.0,221.0,1.56,0.8,252.0,106.0,1.0
13,kite,#reyna,https://tracker.gg/valorant/profile/riot/kite%23reyna/overview,14,Radiant,829,155.8,1.04,0.292,0.618,162.0,0.684,3.0,4557.0,4374.0,1083.0,239.6,1.29,0.8,904.0,215.0,11.0
14,Clewy,#333,https://tracker.gg/valorant/profile/riot/Clewy%23333/overview,15,Radiant,827,157.1,1.25,0.31,0.556,100.0,0.757,35.0,3162.0,2524.0,1052.0,231.1,1.67,0.8,293.0,144.0,2.0
15,100T Cryo,#0001,https://tracker.gg/valorant/profile/riot/100T%20Cryo%230001/overview,16,Radiant,817,170.0,1.29,0.32,0.637,86.0,0.735,29.0,2658.0,2066.0,487.0,263.1,1.52,0.9,491.0,141.0,8.0
16,KRÃ keznitdeuS,#JEKE,https://tracker.gg/valorant/profile/riot/KR%C3%9C%20keznitdeuS%23JEKE/overview,17,Radiant,809,167.5,1.2,0.33399999999999996,0.6509999999999999,95.0,0.7440000000000001,23.0,2711.0,2261.0,650.0,254.3,1.49,0.9,504.0,132.0,4.0
17,flyquest dodonut,#bx22,https://tracker.gg/valorant/profile/riot/flyquest%20dodonut%23bx22/overview,18,Radiant,805,142.9,1.22,0.32299999999999995,0.6509999999999999,84.0,0.775,22.0,2070.0,1698.0,846.0,212.8,1.72,0.8,182.0,114.0,3.0
18,M80 BcJ,#GREAT,https://tracker.gg/valorant/profile/riot/M80%20BcJ%23GREAT/overview,19,Radiant,804,148.0,1.21,0.23199999999999998,0.597,74.0,0.752,26.0,2014.0,1664.0,856.0,222.8,1.72,0.8,216.0,109.0,4.0
19,heal,#9090,https://tracker.gg/valorant/profile/riot/heal%239090/overview,20,Radiant,804,173.2,1.3,0.28300000000000003,0.611,69.0,0.758,35.0,2293.0,1761.0,557.0,264.8,1.62,0.9,380.0,92.0,7.0
20,zero cap,#jenny,https://tracker.gg/valorant/profile/riot/zero%20cap%23jenny/overview,21,Radiant,800,152.8,1.13,0.371,0.588,107.0,0.743,21.0,3038.0,2678.0,1052.0,225.4,1.53,0.8,356.0,129.0,2.0
21,flyquest devy,#pou,https://tracker.gg/valorant/profile/riot/flyquest%20devy%23pou/overview,22,Radiant,797,154.5,1.11,0.303,0.578,115.0,0.7140000000000001,13.0,3501.0,3163.0,813.0,234.2,1.36,0.8,634.0,146.0,7.0
22,canezerra,#YSL,https://tracker.gg/valorant/profile/riot/canezerra%23YSL/overview,23,Radiant,792,171.6,1.17,0.342,0.5539999999999999,148.0,0.72,18.0,5306.0,4547.0,1119.0,267.1,1.41,0.9,1076.0,217.0,18.0
23,bdog,#858,https://tracker.gg/valorant/profile/riot/bdog%23858/overview,24,Radiant,790,155.8,1.22,0.27899999999999997,0.625,100.0,0.737,23.0,2976.0,2441.0,684.0,240.9,1.5,0.9,505.0,139.0,4.0
24,Crazymojo,#9669,https://tracker.gg/valorant/profile/riot/Crazymojo%239669/overview,25,Radiant,788,134.6,1.09,0.273,0.546,166.0,0.7170000000000001,8.0,4698.0,4302.0,1108.0,204.3,1.35,0.7,505.0,216.0,4.0
25,SEN tarik,#1337,https://tracker.gg/valorant/profile/riot/SEN%20tarik%231337/overview,26,Radiant,787,170.9,1.23,0.23399999999999999,0.581,140.0,0.74,28.0,4721.0,3826.0,1009.0,260.7,1.5,0.9,829.0,222.0,10.0
